person,count,pgpid
hasan abu l-fadl,3,30268
ahmad shaltut,3,30268
sa'ur,3,30268
avraham maimon,3,30268
sadaqa b. nufay',3,856
maymun b. david,3,30273
shelishi ba-havurah,3,30273
r. yehezqel,3,30278
r. yehudah,3,30278
sar shalom b. avraham,3,30279
david b. nasi,3,30279
nissim mat,3,30234
moshe b. me'ir,3,30235
refa'el yosef b.,3,30235
yizhaq hayyim,3,30235
baqiya,3,4766
shemuel b. rabbi avraham,3,5736
yehuda b. yehuda,3,31603
shela b. nissim,3,31605
al-raqqah,3,5737
pesiqat pesah,3,4683
mansur b. rashiq,3,5739
sayyid muhammad,3,8998
yosef ibn 'aqnin's,3,8988
inkishaf al-asrar,3,8988
david hayyuj's,3,8989
kitab al-af'al dhawat,3,8989
huruf al-lin,3,8989
avraham b. yashar,3,30147
abraham b. sahl tustari,3,30147
ali al-hasan,3,30147
the nasi,3,30147
david yedidyah b.,3,30147
yoshiyahu b. shelomo b. [da]vid b. bo'az,3,30147
yoshiyahu b. sha'ul b. 'anan,3,30147
shelomo b. se'adyah,3,30147
wafi b. hasan,3,5556
david b. hezekiya,3,5741
yosef b. ishaq al-fasi,3,4037
arus abu al-farah b. yosef,3,4037
avraham b. tiban,3,4037
salman b. sahlun,3,4038
menasse ha-kohen b. ya'aqov,3,4042
ab zikri,3,4041
yehuda b. moshe ibn sighmar,3,4041
yishaq the jerusalemite,3,4043
rav ha-sefaradi,3,9012
abraham b. benjamin,3,29098
moses b. benjamin ashkenazi,3,16818
r. yehoshua'.,3,29380
judas iscariot,3,29381
abraham b. padawi,3,26646
ha-le[vi,3,26646
d. n. mackenzie,3,26646
j. rosenwasser,3,26646
sefer mizvot,3,26646
g. lazard,3,26646
booklore,3,26646
k'aifeng,3,26646
d. leslie,3,26646
abr-nahrain,3,26646
g. gnoli,3,26646
e. rapp,3,26646
karaitic,3,26646
ab,3,26646
abraham b. padoy,3,26646
saadya ga'on's,3,26647
bahur nissim agostaro,3,16821
shelomo agostaro,3,16821
shaykh abu l-hajjaj yusuf,3,26650
nasi ha-gadol,3,26652
rabbi avraham,3,26652
yarum hodo,3,26652
ha-kohen b. yiftah ha-kohen,3,7019
sa'id b. al-munajja al-dimashqi,3,7019
masruq min al-maks,3,7019
al-daman,3,7019
farajun,3,9552
isaac al-nafusi,3,16829
hiba b. al-dabbag,3,16829
david b. isaiah,3,16047
shelomo b. 'adiya b. manasseh al-qazzaz,3,16047
david b. semah,3,16047
aaron b. samih,3,16047
david b. benjamin,3,882
pinehas ha-kohen,3,882
al-mu'allim yusuf,3,26661
mu'allima sara,3,26661
zikri al-qusamtini,3,26661
hakim shams hanuna,3,26661
tabikh al-sharab,3,26661
ahlihi,3,26661
kitab al-madkhal,3,26664
shemuel ha-dayyan,3,26665
elazar ha-dayyan,3,26665
shela ha-zaqen,3,26665
sudoku,3,5500
yusuf al-qalla',3,26667
ha-zaqen ha-yaqar,3,26668
sefer eliyyah mizrahi,3,26669
ha-torah,3,26669
leib buchbinder,3,26669
shelomo hazzan,3,26669
shelomo hazzan's,3,26669
yizhaq lumbroso,3,26669
zl,3,26669
SHdh hArTS,3,26669
avraham b. shemuel meyuhas,3,26669
barzilay b. barukh jabez,3,26669
ya'aqov shaul,3,26669
avraham katorza,3,26669
tv`pvt rAm,3,26669
elyaqim b. yizhaq gatenio,3,26669
yizhaq bonan,3,26669
TSv`qt bkl,3,26670
hananya av bet din b. joseph ga`on,3,16053
isaac b. tayyib,3,16053
levi ha,3,16053
levi b. jacob,3,16053
yizhaq ha-dayyan,3,26677
ya'aqov al-gabbay,3,26678
munsiyya,3,26678
al-sitt al-musaffa,3,26678
al-talmidim,3,26678
al-zaqen abu pinhas,3,26678
al-shaykh pinhas,3,26678
balad al-rum,3,26679
yehoshua'. arabic,3,16844
yiju,3,26681
mutahhar,3,26683
al-fasi,3,26684
bin 'ammi,3,26684
yefet b.,3,26686
'abd al-karim al-mahlawi,3,26686
'abd al-qadir,3,26686
yizhaq b. adida,3,26686
rub' al-hamzawi,3,26686
al-shaykh al-mufaddal,3,26688
sariel the judge,3,26692
mardu b. musa,3,5750
al-shaykh 'allan,3,26694
avraham b. halfon b. nahum's,3,868
musa b. abu l-hayy,3,5751
yosef b. musa ha-taherti,3,5751
goiteins,3,5752
r. nissim b. ta'akov,3,5753
yehosef b. shemuel the nagid,3,5753
badis b. habus,3,5753
yehosf,3,5753
nasi galiyot yehuda,3,26700
sar 'ovadya,3,16864
yehoshiyahu,3,869
'eli b. amram,3,9553
daniel b. 'azariya,3,9553
levi b. simha ha-levi al-nisaburi,3,26709
likewise muwaffaq al-dawla al-ustadh,3,26712
avraham al-shamma',3,26714
al-shaykh abu l-makarim,3,26719
aggadot,3,26723
yaghuthu,3,26724
al-sayfi's,3,26724
al-ramida,3,26725
khatt al-rayyis,3,26726
shelomo b. nissim ha-levi al-barki,3,5755
salmon b. avraham,3,26731
fulan mahkum,3,26733
farw,3,26736
neziqin,3,26739
melammed hasan,3,26745
al-shaykh mansur,3,26745
al-shaykh sadid,3,26747
david b. abraham b. maimonides,3,16878
musa b. joseph,3,16879
josiah ga`on,3,16879
natan b. avraham's,3,866
gershom b. judah,3,29333
ha-melammed b.,3,6982
khalfa b. ishaq,3,5761
shelomo head,3,16891
ephrayim b. shemarya,3,871
andalusi,3,5764
al-f,3,26783
] b. ilyas (,3,26783
al-maqam,3,26785
al-sultani al-maliki al-sayfi,3,26785
al-qiyam bi-l-waraq,3,26785
laysa bi-damin lahu wa-la,3,26785
khuruj al-tawqi',3,26785
nasr b. abu sa'd,3,16903
al-mawali al-mun'imin,3,26787
ha-dayyan ha-maskil,3,26790
jayyid rafi',3,26791
tarh,3,26791
the haver abu katir,3,16915
mansur b. da'ud,3,26798
david ii,3,26800
r. muvhar,3,26801
r. shemuel b. al-gati,3,26801
anatoli b. joseph,3,16920
yosef b. yeshu'a al-tarabulsi,3,887
musa b. kuku,3,16923
yeshu'a hami,3,26824
r. sa'adya,3,18850
yishaq b. sassun,3,867
lisan thawr,3,26830
abraham ha-levi,3,18617
yisra'el,3,26839
magreb,3,26839
'ala al-qanun,3,26842
ibrahim b. tahir,3,26846
joseph ardia,3,16945
abraham b. david b. abraham maimonides,3,18635
aviram ha-kohen b. yitzhak b. furat,3,891
zakarya b. ya'aqov al-shama,3,5771
yefet b. 'amram b. moses,3,16949
yakhin b. abraham,3,16949
avraham b. farrah (gil,3,9558
'ammar b. khalluf,3,9558
moses b. mevorakh,3,16961
david b. abi zimra,3,873
isaiah al-fasi,3,16965
joseph b. yeshu'a,3,16967
al-atrabulsi,3,16967
yosef b. yeshua,3,5773
moses abu 'imran,3,16056
faraj allah b. ibrahim,3,26971
elazar skanda,3,26976
yehuda maraji,3,26976
moses b. al-ashqar,3,16059
jephthah b. avraham,3,897
barhun b. salih ha-thirti,3,5774
hana bt,3,31560
negidut,3,9363
sedaqa al-ramli,3,4768
r. ephraim,3,18618
talmid b. meshullam,3,18618
khalaf b. musa al-barqi,3,2729
sahlan b. yehoshua al-tarabulusi,3,2729
david abu al-fadl b. yosef,3,2732
mansur al-zajjaj,3,27010
yossi b. musallam,3,2733
sedaqa b. mansur al-maliji,3,2733
notary,3,2734
akiva b. joseph,3,16971
yisrael,3,2761
shelomo b. yehuda's,3,898
mentions damietta,3,27029
elazar b. yoshiah,3,2764
yeshu'a b. joseph,3,29190
ahl al-mahalla,3,2767
nehemya b. avraham,3,5779
r. rahamim,3,16067
joseph b. zefanya kohen,3,16067
joel kraemer,3,9367
joseph tamish,3,16985
Alv lhvdy`,3,16985
isaac al-ashqar,3,16985
mn mTSr,3,16988
bSHm yyy,3,16988
avraham ii,3,27054
gina,3,18637
shakir al-tam,3,18637
qa' bir,3,18637
shemuel b. hofni gaon,3,5781
dosa gaon b. sa'adya,3,5781
menashe ibn al-qata'if,3,27069
kohen bet din,3,16990
al-akram,3,27083
saniy al-dawla,3,27084
shemuel b. al-kohen,3,2737
avraham ha-levi b. moshe ha-levi,3,27086
mawlay al-nezer,3,27087
yizhaq susi,3,27089
dona dolsa,3,27089
al-hurra al-jalila,3,27089
mansur b. al-hazzan,3,27091
'aziz ha-levi b. gana`im,3,18708
david b. abraham maimuni,3,16762
sayyidna,3,27096
r. shemarya al-kohen,3,27096
musa b. burhan,3,27098
al-rayyis abu l-fadl b.,3,27100
daniel b. eliyya,3,27103
joseph b. abraham b. sa[ul],3,16071
ibrahim b. moses,3,16071
sahl b. khalaf,3,16071
se'adya b. el'azar,3,27105
minyat zif,3,27105
malk bat moses,3,16072
isaac b. zerubabel,3,18603
tahor ha-levi,3,16073
moses b. judah,3,16073
yosef b. suq,3,27106
sutayt bt,3,27106
se'adya b. maymun,3,27106
nissin,3,27107
ju]dah ha-kohen b. toviyya,3,16074
'ovadya b. avraham hazzan,3,27108
david b.,3,27108
el'azar honik,3,27108
dotan arad's,3,27108
isaac b. sa'adya,3,16075
yefet b. ya'qub,3,2739
furat b. yosef,3,2742
isaac b. abraham b. isaac,3,16078
shevet,3,16080
joseph ArvyyvyTS b. jacob,3,16080
shabbat b. elazar ha-melammed,3,2741
joseph g'ldyty,3,16082
sibyan ha-kohen b. abu sa'd b. sibyan,3,2743
nethanel b. yeshua,3,2743
sibyan ha-kohen b. saadya,3,2743
moses b. tahor,3,16086
al-sabbag,3,16086
yehoshua' b. nathan,3,16087
katir b. ezra,3,16087
manasseh al-magrebi,3,16087
da`ud kohen,3,18604
ezra bargut,3,18604
sa'id b. nissim,3,18604
yefet ha-levi b. halfon,3,2745
saadya ha-kohen,3,2747
natan b. yosef,3,2748
husayn b. david ',3,2754
semah b. al-hasan b. boaz,3,2754
avraham b. sasson al-mahalli,3,2751
abraham b. nathan av bet din,3,16089
abraham b. hanan`el,3,18625
yefet b. yaakov,3,2753
hanna bt,3,2753
ha-kohen b. yakhin,3,18626
r. joseph ha-kohen,3,16096
moses b. david,3,18627
aaron b. abraham,3,18627
moses b. abraham ha-kohen,3,18627
moses b. sadoq,3,18628
halfon b. nathan,3,18628
sa'id b. nahman,3,2756
yefet b. david (goitein,3,2756
abi l-bayan musa,3,30836
madmun b. hasan's,3,5446
tov,3,5795
nehemya ha-kohen's,3,5795
saida,3,11596
mordechai jamila,3,11269
musa b. dawud al-levi al-misri,3,30082
avraham b. sabra,3,30082
avraham b. sadaqa,3,30080
netan`el b. sadaqa,3,30080
ja'far b. raja al-judari,3,30081
barakat b. abu l-faraj al-dayyan,3,31584
yuqabbilu l-arda ta'i'an lillahi,3,31584
al-shaykh al-sadid abu l-mahasin,3,31584
the gaon,3,902
elazar ha-melamed b. shemu`el b. al-maghribi,3,903
shelomo b. yehuda ha-gaon,3,903
elazar ha-melamed,3,903
said b. narhab,3,5445
hillel b. nahman,3,5445
husayn b. suwayd,3,6127
ishaq b. sedaqa,3,6127
musa b. al-ahuv,3,7034
yizhaq al-siqilli,3,7034
muhammad musa,3,30149
entre mahmoud,3,30149
galila fatma la grande fille,3,30149
sa`id ibn hasan al-talimsani,3,30158
`ala` al-din,3,30162
al maalim,3,30162
al el dine ibn mar[--]oum el farsi shahine,3,30162
mamelouk demandant,3,30167
ancienne maitresse de retourner,3,30167
dans sa premiere maison,3,30167
gani bek,3,30168
dhu al-qa`dah,3,30171
d'el azhar,3,30173
wali',3,30173
kashqadam ibn,3,30177
allah al-maliki,3,30177
khachkadan,3,30177
arabe min,3,30178
dans l'histoire,3,30178
saragah mache,3,30151
jawhar al-safawi,3,30181
`uthman ibn,3,30181
gohar al safawi,3,30181
`ala` al-din ibn hasan,3,30152
shahab el dine ahmed ibn zen al dine received,3,30152
al el dine aly ibn,3,30152
hassan fatima el togun,3,30152
karal,3,30153
sefeldine abdalla el nassiri,3,30153
tughan,3,30155
tugan,3,30155
sayf al-din tughan,3,30156
togan ibn abdalla el malaki,3,30156
el fathi,3,30156
sahai shahine,3,30156
al-musansir,3,30195
zayn al-din sha'ban b. something,3,30214
sallama tasliman,3,30209
verso,3,30209
yuqabbil al-yad al-'aliya,3,30200
jumada al-ula,3,30206
lennart sundelin,3,30206
robert garrett,3,30207
nur al-din,3,30210
shams al-din muhammad,3,30196
`umar al-kutami,3,30160
kutama,3,30160
prophet,3,30166
ba`unah,3,30170
wa-la,3,30175
talisman,3,30180
ahmad ibn `abd,3,30186
al togan,3,30157
meri daud,3,911
aharon al-araki,3,912
salam,3,912
al-azar ha-kohen b. shelomo,3,914
shelomo kohen b. abu zikri yehuda b. yosef ha-sijilmasi,3,9640
messenger,3,9640
al-muthallatha,3,9640
humma l-kabd,3,9640
diq nafas,3,9640
masekhet shabbat,3,28971
neater,3,28975
yehudah b. yahya,3,28975
bereshit rabbah,3,28975
baer heitev,3,28975
pesikta ha-nasi,3,28975
humash ha-gadol,3,28975
rav alfas,3,28975
ezekiel b. natan,3,5441
wahshi,3,28978
complete judaeo-arabic,3,28980
mutawalli al-hisbah,3,28980
ullah b. hillel,3,30145
goldziher,3,4074
al-kharaj,3,2771
yosef b. yitzchak,3,2778
israel januni,3,5806
'iwad b. hananel,3,1491
adar rishon,3,1491
nissim b. david b. sighmar,3,2782
sahln b. avraham,3,5808
barakat b. hibat allah al-ja'fari,3,2784
musa b. al-lukhtush,3,9043
ali husayn b. yosef,3,2789
isaiah b. ishaq,3,2791
amram b. moshe al-barqi,3,2793
benei sunbat,3,2795
al-turfa,3,2795
ala ra's,3,2795
al-razi's casebook,3,2795
al-fu'ad',3,2795
al-razi's,3,2795
yosef b. asad b. qirqas,3,2798
m. r. cohen,3,2798
avraham b. farah al-iskandarani,3,2803
funduq al-qamra,3,2811
al-marad,3,2811
yakunu humr,3,2811
rabbenu bahye,3,2811
al-suq al-kabir,3,2811
azza al-ibilliniyya,3,2812
tobiah,3,7874
damsis,3,5809
al-shaykh al-sadid al-tabib,3,2814
jalal al-din,3,2814
al-shulal b. avraham,3,2818
isaac b. na'im,3,18855
moses karda',3,16999
aaron al-garbi,3,17000
tamim b. tobias,3,2823
munir al-dawla's,3,1501
kitab al-ansara,3,2828
yishaq b. yehuda ha-kohen al-dimashqi,3,2834
daniel b. ya'aqov,3,2834
hawsh al-maghariba,3,2835
isaac horoshban,3,16110
isaac shanji,3,16110
moses b. na'im,3,17002
jacob ha-levi b. rahamim,3,16111
isaac reuben b. jacob,3,16111
al-mallaha,3,2836
mastaka,3,2836
yeshua b. ya'aqov,3,4722
ishaq b. abu munajja,3,2840
zephaniah,3,17004
makhluf b. musa ibn al-yatim,3,2841
bab al-sidara,3,2841
yosef qabisi,3,2846
coming of age,3,5810
salerno,3,5810
dar al-tufah,3,2849
ismail b. yitzhak al-andalusi,3,1510
avraham b. hananel,3,1511
daniel b. aharon,3,1513
yosef b. sahl ha-bardani,3,1515
eliya hacohen,3,1516
yizhak furat,3,1517
al-bayt,3,7886
avraham b. yitzhak al-andalusi,3,1518
david b. avraham b. maimonides,3,1519
issa bey,3,2878
lev,3,2878
oliver kahl,3,2878
the dispensatory of ibn al-tilmidh,3,2878
avraham b. r. ya'aqov dar'i,3,1521
meshulam,3,5431
koza sin enpenar,3,29064
la civdad,3,29064
khumsa,3,17008
jacob shalom,3,17008
joseph sarur,3,17009
abraham zrahiyya,3,17009
abraham shaul,3,17010
jacob m,3,17011
tntn,3,17011
joseph fitru,3,17012
judah fanu,3,17012
mordechai kohen,3,17013
shihab al-din b. shirin,3,18203
jonah,3,18203
goitein med,3,2881
aron ibn al-ammani,3,2901
kalev al-sofer,3,2893
av)dukia al-rumiyya,3,2893
rini,3,2893
walad al-nezer,3,2894
mevorakh b. nathan b. shemuel,3,2894
abu'l muna,3,1524
tahir b. al-ghuzzi,3,2905
r. zakkay,3,2913
miryam,3,1525
al-siqilli,3,2914
amr b. ibrahim,3,2923
al-rashid abu al-hasan,3,2926
marseille,3,17018
ishaq b. `ali majjani,3,2939
camphor,3,5814
ata b. amar,3,5815
yoshiyyahu b. natan,3,5816
masliah b. eliyya,3,5816
lahu 'aynuhu,3,5817
hasan b. amar,3,5818
zikri b. musallam ibn,3,2948
naja al-tabib,3,2948
avraham al-dimashqi b. jethro,3,2949
ephraim 'adda,3,17022
livorno,3,17022
david b. nahum b. hakhmon,3,5820
aharon ha-haver b. yoshiyyahu,3,1535
buna,3,2957
rafa'il b. abu runa,3,2958
mufaddal b. al-maqdisi,3,2961
hasan b. sahlan,3,2962
r. maymun,3,2965
saadya b. yehuda,3,2964
isaac b. shemuel,3,1536
shemuel b. aaron,3,1536
ali hasan,3,1536
ktav pub.,3,1536
halfon b. nethanel ha-levi,3,5276
moshe b. shemuel b. jami,3,2974
sadoq b. shemuel b. al-'ammani,3,2975
diaspora,3,2976
nethanel b. tiqva,3,2981
eli b. mevasser,3,2981
ali b. bishr,3,5822
yosef b. bishr,3,5822
sedaqa ha-levi b. shlomo,3,4771
eliyyahu b. yishaq b. al-qash'ami,3,2982
yosef ha-kohen ha-haver b. ya'aqov,3,1542
sedaqa b. ezra,3,1542
nehemiah b. perahya,3,2984
yefet b. yahya,3,2985
allan b. nahray,3,2987
avraham b. yefet ha-levi,3,2987
salaf,3,2990
wafi b. 'amram,3,2991
haver b. mevorakh,3,2992
elazar b. shemuel,3,2992
nissim ha-kohen b. aharon,3,2992
yeshua' ibn al-shamiyya,3,2993
ruq'a mutarjama,3,2993
yehuda b. yosef al-rumi,3,2993
wahb b. mevorakh,3,2993
elazar b. menahem,3,2994
daniel the nasi,3,2997
soan,3,3000
ras al-jaliya,3,3001
al-nasi shams al-din,3,3001
suq al-'attarin,3,3002
suwabin,3,9231
rayyis arafat,3,3010
al-mubarak b. yosef b. yezdad,3,3013
hasan b. tayyib,3,3013
yehoshu'a ha-haver b. eli,3,1551
joseph naphtali,3,17025
r. hiyya b. yishaq,3,5277
me'ulle hakkam,3,1554
jephthah b. ya'aqov,3,3015
avraham b. moshe al-talmid,3,3016
banat b. khalaf al-baidayani,3,3016
durra bat yeshua,3,3016
hayyim sanua',3,16113
salama b. musa ha-safakusi,3,5826
yannay b. nahum al-baradani,3,1556
masliah b. elijah,3,1556
hillel b. isaac,3,1556
ha-shelishi,3,1556
yehuda b. meshullam b. zekharya,3,3020
jaliyya bt,3,3020
nissim b. sadaqa,3,3022
yeshua b. josiah b. shemaya gaon,3,3023
joseph kohen,3,7852
yefet b. eli al-tinnisi,3,3027
masliah ha-kohen gaon b. shelomo,3,3028
sadoq av bayt,3,3028
dhalik al-waba',3,1560
mubarak b. yishaq b. sabri,3,3037
aharon ha-kohen b. amram,3,1561
moses shalom,3,17028
jacob abzaradel,3,16114
ezekiel haffad,3,16114
joseph hassan,3,16114
bnaya b. musa,3,5829
jacob ha-levi,3,16115
moses sevi,3,16115
joseph romano,3,16116
ezekiel basri,3,16116
sasson b. meshullam,3,3044
moshe b. ishaq,3,3045
yosef the hazzan b. nissim,3,3047
khalaf b. shemuel,3,3059
hassun of ascalon,3,1562
wuhsha the broker,3,1562
al-sham',3,3052
barakat al-mu'allim,3,7860
joseph b. jacob kohen,3,7855
sayd,3,7856
kalaf b. samuel,3,7856
mubarak b. abu l-muna al-dimasqi,3,7856
halfon b. 'eli ha,3,7856
ephraim b. mesullam,3,7856
'imran b. mevorak,3,7856
sela b. jacob,3,7856
miska berakot b. abraham al-haver,3,7856
judah b. solomon,3,7856
solomon ha-levi b. samuel,3,7856
al-kutub bi-l-akhbar al-mutajaddida,3,7857
kutub,3,7857
al-kitab al-kabir,3,7857
avraham b. salhun,3,3062
abraham b. asher,3,16117
hasan al-dib,3,16118
wolf,3,16118
gomorrah,3,1563
yosef b. banan,3,3071
menasse b. yishaq,3,3073
avraham b. benjamim,3,3075
kalev b. leon,3,1564
david b. hayun,3,1566
yosef b,3,5830
farah al-kabisi,3,5830
ali b. amram,3,1568
tunis,3,1570
yeshua b. shemuel,3,3086
shemuel al-qabisi,3,3086
yisrael b. yosef b. banuka,3,1573
mufaddal b. al-dayyan,3,19893
nezaqim,3,31497
yosef b. yaakov,3,5834
golb,3,3094
avraham b. simhon,3,1613
aharon ha-mumkhe,3,1614
daniel the perfumer,3,1615
sedaqa b. avraham ha-kohen,3,19903
al-khurayyif,3,19905
kairouan,3,5837
shemuel b. semah,3,1621
saadya b. maymun,3,3102
hasana bat levi,3,3102
barhun b. farah,3,19911
nissim al-raqqi,3,5409
yosef b. sad'el,3,1626
efrayim b. zadok,3,1626
sar-shalom b. yitzhak,3,1626
yosef b. yaakov b. yahboi,3,5838
rabbi maymun,3,19917
avraham b. se'ada,3,5839
faraj b. avraham,3,1628
joseph b. samuel,3,19918
banu qurra,3,3104
solomon b. judah gaon,3,1629
musa b. al-mughani,3,1630
yosef b. ya'aqov al-atrablusi,3,1632
musa b. yishaq b. hisda,3,1633
david b. shaya,3,5843
al-ru'asa',3,19920
hasan b. rabi',3,19921
al-kamili,3,19921
ketav ha-harsha'ah,3,19921
baha,3,3107
bard humma,3,3107
nafid kathir,3,3107
zabbid,3,5520
isma'il b. 'adaya,3,7136
ladikiya,3,5844
yoshe'a b. natan,3,5847
yoshe'a,3,5847
dihn,3,5847
khalluf b. farah b. al-zarbi,3,3111
yosef b. khalluf b. farah,3,3111
khalluf b. farah,3,3111
rosh hashanah,3,19925
talmid b. binyamin,3,7186
husayn al-sabbagh al-damin,3,7188
al-rayyis al-hayfi,3,7188
nasi yoshiyahu,3,19929
jalal al-dawlah,3,19929
mansur kohen,3,7190
al-kabirah</em,3,1643
yishaq b. 'ovadya,3,3118
yishaq b. avraham b. ezra,3,3118
nahray b. nissim (misr,3,1644
shemarya b. efrayim,3,3119
tahor al-talmid,3,1645
shemuel b. hananiah,3,19931
qa'at al-fadil,3,7196
husam,3,7196
shemuel b. [ ],3,19932
farah b. ibrahim,3,19932
harun b. ya'aqov,3,19932
isaac nisaburi,3,7197
toviah b. eli ha-kohen,3,7199
yosef ha-kohen av beit din b. shelomo gaon,3,1648
al-shishi,3,7200
al-rayyis daniel,3,7200
the gaon masliah,3,3124
al-mah[allah,3,19934
AlKHzAnh,3,19934
aharon b. mevorakh,3,19935
toviyya ha-kohen b. eli,3,3127
al-zufa,3,19936
efrayim b. shmaria,3,1649
r. ya'aqov sobrado,3,19937
r. shelomo al-hanati,3,19937
r. david kivas,3,19937
dvd kyvAs,3,19937
tia havah,3,19937
yishaq beirav,3,19939
yizhaq b. barhun al-tahirti,3,5854
toviyah b. eli ha,3,19942
al-shaykh abu mansur,3,19943
abraham b. yiju,3,19944
medieval jewish traders,3,4727
kohen ha-haver,3,1653
ayash b. sdaka,3,5855
shelomo b. elazar,3,7211
shelomo b. [,3,7212
shemuel ha-kohen b. berakhot,3,7212
peloni ben peloni,3,19948
nethanel gaon,3,3135
y]osef b. ha-rav aharon,3,19949
arus b yosef,3,3136
x b. menahem,3,3138
elazar ha-kohen b. meshullam,3,3138
rabbi shemuel,3,3140
rabbi nehemiah,3,3141
mansur b. simha ha-kohen,3,7215
hesed b. yashar al-tustari,3,5856
Allh t`,3,19952
lk Al`Aqbh,3,19952
cairo geniza documents,3,1657
regarding b. awkal,3,5857
yosef b. shabbetay al-hazzan,3,1658
yitzhak b. ya'akov he-haver,3,1659
sar tzeva ha-el,3,19953
miryam bat tata,3,19953
hajji amir Ayl nAmrAgvAy,3,19955
r. yosef burgos,3,19955
yishaq b. ganun,3,1662
ha-sar ha-adir,3,19956
pesakh,3,19956
zikri rosh ha-kahal,3,19956
al-shaykh abu l-mufaddal,3,19957
'abdallah ibn al-ba'ba',3,5862
khalluf b. musa,3,3149
yizhaq b. she'erit,3,3150
"""makhluf ibn 'ayn sarra",3,9521
pinhasi,3,3151
amon,3,19959
non hay ganancia,3,19960
solo darham nin.,3,19960
oficios y caudal y,3,19960
mansevos non,3,19960
mantener nin,3,19960
tal hombre como yo viejo y sin oficio y sin dinero que hizo poco que,3,19960
y aun quede,3,19960
que,3,19960
trajeron,3,19960
seis ducados que,3,19960
yefet b. amram ha-hazzan,3,19961
bani jawad,3,19963
sayyidna al-rayyis al-ajall ra's,3,19964
rosh kallah)--along,3,19964
judayla,3,3157
sha'ya,3,3157
akko,3,3158
furrayj b. ishaq,3,19966
ma'ani b. abu l-khayr,3,19966
herem stam,3,19969
min al-wujuh,3,19969
innahu baqi li ',3,19969
al-shaykh abu l-wahsh,3,19969
elazar b. yehuda b. elazar ha-kohen,3,3161
marhaba,3,19970
murahhaba,3,19970
eliiyyahu,3,7221
hujrah,3,19972
al-baladiyya,3,19973
rabbi yusuf,3,19974
hanna,3,19974
yehudah karat,3,19974
daniel b. 'azariah,3,29129
moshe ha-levi b. sedaqa,3,19983
yizhaq b. ghalib al-hazzan,3,19983
ya'aqov al-ghallaq,3,19984
'ali b. shelomo,3,19984
shemuel b. mevorakh,3,19985
med sod,3,7231
kimui b. al-hasan,3,5867
hind,3,3171
shemuel b. hasan,3,3172
aharon b. yeshua al-tinnisi,3,3173
ya'ish ha-kohen,3,18643
parnas b. abraham,3,18643
sahlan b.] abraham alluf,3,18643
el'azar b. r. [,3,18643
mivhar b. sedaqa,3,19993
moshe b. moshe b. ajan,3,19993
berakhot b. se'adya,3,19993
convert,3,19993
moshe b. shemuel b. sahl,3,1675
yizhaq b. shemuel ha-sefaradi,3,19994
tovia b.,3,19995
s. assaf,3,9522
shetarot,3,9522
dirge,3,1676
benaya ha-zaqen,3,19998
shabbat b. yesha'ya,3,19999
al-salihiyya,3,20000
avraham b. yosef al-sabag,3,5869
yishaq b. avraham ha-ma'aravi,3,1678
david kohen b. shelomo,3,1678
ya'aqov b. yehuda,3,20003
nissim ya'aqov,3,20003
hayyim david hazzan,3,20003
shaykh abu mansur b. shemuel,3,4068
yefet b. toviya,3,20006
r. khalluf,3,20007
minyat zafta jawad,3,1679
david mizrahi,3,20008
nawwar,3,20008
reif,3,4069
saadya b. yehoshua',3,3179
yakhin rosh ha-qehillot,3,3182
aharon ibn,3,1682
ya'ir b. isaac,3,16122
mSHly vAyvb,3,18605
"lgAvn z""l",3,18605
vtvhrh,3,18605
david ii maimonides,3,7287
nissim b. nahray b. nissim,3,5872
halfon b. ghalib,3,3188
sedaqa b. mevorakh,3,3189
old-cairo,3,9232
rabbi abraham b. semacya,3,9232
yosef b. zakariyya,3,3190
yosef saftawi,3,7310
avraham b. ezra,3,7310
yosef b. elazar,3,3194
metropolis,3,1689
rabbi zadok,3,3196
manasseh b. yishaq,3,1690
al-afdal's,3,3197
al-nas</em,3,3197
aharon ha-me'ulle b. josiah,3,1692
esaya prophete',3,1692
ta'akov b. nissim,3,5874
maymuna,3,16799
abraham b. isaac ha-talmid,3,16799
nathan b. samuel,3,7343
iii,3,7343
yosef b. shalom,3,3202
david b. shalan,3,3202
yahya b. eli b. yosef kohen,3,5877
shelomo av ha-yeshiva,3,1698
lydv myd KHmvd,3,1698
arah b. nathan ha-sar,3,7145
yosef ibn 'aqnin,3,4073
ein gratulationsbrief,3,4073
hermann,3,4073
judaica,3,4073
hermann cohens,3,4073
tanhum b. ya'aqov,3,5880
joseph ha-kohen b. ab[raham,3,18578
najiyya,3,18701
pumbeditha,3,1700
khai,3,1700
[b. avraham],3,916
mevaser b. shela,3,917
jealia bt,3,917
al-shlimon al-dalati,3,917
itzhak b. yaakov,3,917
avraham b. david [b. sighmar,3,918
levi b. sahl,3,919
eli b. shelomo ha-kohen,3,919
tiban b. yeshu'a ha-kohen,3,919
hanadiv brakhot,3,934
avraham b. hajay,3,935
vhKHbr yhvSHv`,3,17033
mar yefet',3,29379
Aby `zr TSdqh,3,29191
judah ha-nasi,3,17034
yefet b. david b. shekanya,3,7991
ibrahim b. abu al-surur,3,3216
avraham b. faraj,3,944
avraham shabbetay,3,3218
mevorakh b. amram,3,945
the zuqaq khabisa,3,3219
rabbi moshe,3,3222
yahya b. al-munajjim,3,3223
